id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38756737,One Bedroom Apartment,296379242,Quest Sanctuary,,Wyndham,-37.89532,144.76482,Hotel room,199,1,0,,,2,342,0,
38757166,Modern Apartment in South Melbourne,46669405,Valentina,,Port Phillip,-37.83685,144.96568,Entire home/apt,100,1,10,2021-02-21,0.36,1,0,2,
38759237,Large Double Room in Front of Victoria Markets,90729398,Valeria,,Melbourne,-37.80472,144.95897,Private room,44,7,5,2020-01-26,0.18,152,160,0,
38761833,"AUS OPEN 2BR 2 BA + MCG VIEW-POOL, PARKING",12197796,Nicole,,Melbourne,-37.81484,144.98537,Entire home/apt,196,1,57,2022-01-01,2.09,6,60,26,
38785578,Cozy Bedroom located in the heart of Melbourne,89562817,Emma,,Manningham,-37.78802,145.14316,Private room,45,2,3,2019-11-23,0.11,1,180,0,
38787410,"Luxurious one Bedroom Apt - City Views, Spring St",137771001,The Rest,,Melbourne,-37.81361,144.97497,Entire home/apt,150,2,7,2019-11-23,0.25,5,0,0,
38802893,The Garden Apartment,19367976,Cara & John,,Yarra,-37.78859,144.99152,Entire home/apt,105,2,56,2022-01-04,2.03,1,95,24,
38803695,Large 2 Bdr Apt Overlooking Park - Walk to MCG,1553514,Daniel,,Melbourne,-37.81274,144.9862,Entire home/apt,64,2,3,2019-11-16,0.11,1,0,0,
38805613,Cozy apartment in the heart of Collingwood,165130929,Ana,,Yarra,-37.80674,144.98669,Entire home/apt,170,1,1,2020-01-27,0.04,2,0,0,
38807102,Private room & bathroom - prime spot of Elwood,235369159,Whitney,,Port Phillip,-37.88696,144.98667,Private room,100,5,0,,,1,88,0,
38808344,PREMIUM 2BED 5 * Sensational Views*Free Parking,200909382,Steve And Janet,,Melbourne,-37.82201,144.94164,Entire home/apt,410,2,5,2021-08-27,0.40,20,317,4,
38808518,Southbank room-luxurious view BEST LOCATION,103930474,Yixuan,,Melbourne,-37.82385,144.96158,Private room,80,7,15,2021-01-01,0.54,2,0,0,
38809137,Private room in large Collingwood apartment,60121304,Jay,,Yarra,-37.80947,144.99151,Private room,70,3,4,2020-01-22,0.15,2,0,0,
38815412,Entire 2 bedroom apartment in heart of Bayside,2650120,Sheri,,Kingston,-37.96058,145.05252,Entire home/apt,100,14,1,2020-09-30,0.06,2,0,0,
38820898,Designer townhome! 2min to tram + private parking!,8595479,Brett,,Moreland,-37.77405,144.97748,Entire home/apt,147,2,31,2021-10-30,1.31,1,0,16,
38821876,Haven in Pascoe Vale,118763245,Jo,,Moreland,-37.72863,144.94114,Private room,58,1,18,2022-01-02,0.69,1,63,4,
38822548,Lovely sharehouse CBD,297185749,Baptiste,,Melbourne,-37.80873,144.97482,Shared room,152,1,1,2019-10-15,0.04,1,90,0,
38823998,Penthouse Apartment.,265914237,Q Squared Serviced Apartments,,Melbourne,-37.80235,144.95315,Entire home/apt,275,28,1,2019-10-13,0.04,4,362,0,
38824031,2 BEDROOM new unit in DEER PARK VIC 3023 AU,267314470,Zuzana,,Brimbank,-37.77204,144.77604,Entire home/apt,158,2,10,2021-04-29,0.37,3,363,3,
38824200,Smart apartment in elegant suburb close to city,279001183,MadeComfy,,Boroondara,-37.8229,145.0225,Entire home/apt,242,3,27,2021-11-01,0.99,123,339,5,
38824611,3 Bedroom Apartment in Maribyrnong,178383372,Anand,,Maribyrnong,-37.77407,144.88057,Entire home/apt,399,2,1,2020-12-31,0.08,4,356,0,
38825612,Cozy Art-Inspired near Southern Cross Station,137199803,Pia,,Melbourne,-37.81742,144.95418,Entire home/apt,129,3,22,2020-03-17,0.85,2,0,0,
38825693,Empire Melbourne CBD Convenient,193368830,Gem,,Melbourne,-37.80886,144.96028,Entire home/apt,166,1,11,2020-02-21,0.43,38,0,0,
38826598,Blooming-the designed Nordic style home in CBD,233395026,HuanAmy,,Melbourne,-37.80782,144.96057,Entire home/apt,195,2,51,2021-12-11,1.88,1,8,14,
38827805,Melbourne CBD En-Suite Bedroom Netflix NBN Alexa,297263018,Ester,,Melbourne,-37.81431,144.95406,Private room,150,2,0,,,1,90,0,
38829525,20%OFF Pet-friendly Hampton Apt + Secure Parking,43239145,Emily,,Melbourne,-37.81613,144.95318,Entire home/apt,195,2,50,2021-12-13,1.83,1,154,20,
38833910,Back yard bar. I'm easy going and friendly,297308878,Ryan,,Casey,-38.13519,145.29213,Private room,32,14,0,,,1,179,0,
38838274,[Negotiable] Disinfected condo with water view,215198531,Jun,,Melbourne,-37.82096,144.94206,Entire home/apt,129,5,29,2020-03-13,1.05,2,0,0,
38851265,Great Room in Californian Bungalow,48653596,Andrew,,Maribyrnong,-37.79491,144.86928,Private room,60,1,1,2019-12-19,0.04,1,0,0,
38855776,Room near the city (Melbourne),297519031,Katherine,,Maribyrnong,-37.78106,144.8928,Private room,40,1,7,2019-12-18,0.25,1,0,0,
38856883,Enjoy a Cosy Lifestyle near Flemington Racecourses,110705564,Lina,,Melbourne,-37.7818,144.91575,Entire home/apt,171,3,33,2021-12-17,1.21,4,306,25,
38857329,Private bedroom with full en-suites and WIR’s.,295324745,Mahdi,,Brimbank,-37.74252,144.79224,Entire home/apt,200,4,0,,,1,89,0,
38857450,Luxury CBD City Sanctuary with Breathtaking Views,58393929,Alex,,Melbourne,-37.80809,144.96121,Entire home/apt,188,2,45,2021-12-23,1.63,7,151,30,
38859895,Cozy bed and Close to everything,193761777,Deepan,,Port Phillip,-37.86199,145.00041,Private room,50,1,0,,,1,90,0,
38862258,One Bedroom Apartment,30932561,Q Squared,,Melbourne,-37.80254,144.95293,Entire home/apt,128,7,2,2022-01-03,0.08,5,365,1,
38862591,Cozy new bedroom in a new townhouse,34343705,Linh,,Brimbank,-37.7949,144.79353,Private room,34,3,6,2019-11-28,0.22,1,0,0,
38862678,Two Bedroom Apartment,30932561,Q Squared,,Melbourne,-37.80393,144.95225,Entire home/apt,203,7,1,2019-10-06,0.04,5,365,0,
38862977,Two Bedroom Penthouse,30932561,Q Squared,,Melbourne,-37.80401,144.95313,Hotel room,275,28,0,,,5,7,0,
38865397,「no.4」New apartment/2 bedrooms/for 4-6 people,69641549,Yun,,Melbourne,-37.79576,144.94057,Entire home/apt,178,1,17,2021-12-03,0.62,6,88,9,
38865675,「no.6」 New apartment/1- bedroom/for 1-4 people/CBD,69641549,Yun,,Melbourne,-37.79551,144.94193,Entire home/apt,144,1,20,2021-12-23,0.73,6,86,4,
38866483,「no.5」New apartment/2 bedrooms/for 2-4 people,69641549,Yun,,Melbourne,-37.7963,144.94077,Entire home/apt,178,1,23,2021-11-27,0.83,6,82,7,
38879119,201-Lili Airport’s First Rest Room201机场第一民宿近商圈和市区,139046187,Roger,,Moonee Valley,-37.7561,144.91717,Private room,64,3,9,2021-12-21,0.33,14,1,1,
38879615,103-Airport’s First Rest Room103墨尔本机第一民宿近商圈市区,139046187,Roger,,Moonee Valley,-37.75633,144.91554,Private room,65,3,2,2019-11-28,0.08,14,0,0,
38880191,Japanese Private Room in City Center,34072221,Alex,,Melbourne,-37.81059,144.95879,Private room,71,1,9,2020-01-13,0.33,2,0,0,
38880340,Japanese Master Bedroom in City Center,34072221,Alex,,Melbourne,-37.81121,144.95881,Private room,72,1,12,2019-12-05,0.43,2,0,0,
38881160,new cozy  home,76510215,Annabelle&Suzy,,Whitehorse,-37.8153,145.12244,Entire home/apt,120,1,4,2020-03-18,0.14,9,0,0,
38881235,2 Bdrm South Yarra Apt With Balcony and Parking,293526132,MaisonNets,,Stonnington,-37.83313,144.98982,Entire home/apt,198,2,29,2021-12-28,1.05,12,57,17,
38883086,Peaceful room near to the Airport,297789045,Prabuddhika,,Hume,-37.58688,144.90994,Private room,44,1,12,2020-02-05,0.43,1,0,0,
38883214,Perfectly located St Kilda Two Bedroom Apartment,150518259,Quest St Kilda,,Port Phillip,-37.86336,144.97545,Entire home/apt,363,1,3,2021-02-11,0.22,2,352,1,
38883241,☆CBD☆ Waterfront Apt(2 Bedrooms) w/Secured Parking,161697557,Sebastian,,Melbourne,-37.81478,144.93988,Entire home/apt,579,180,8,2020-01-01,0.29,89,309,0,
38883439,Two Bedroom Townhouse,296379242,Quest Sanctuary,,Wyndham,-37.89377,144.76541,Hotel room,269,1,0,,,2,336,0,
38883456,101-Airport's Most Comfortable Room近墨尔本机场小林最舒适的民宿,139046187,Roger,,Moonee Valley,-37.75618,144.91769,Private room,64,3,3,2019-12-01,0.11,14,0,0,
38885225,"Beautiful Victorian house, sleeps up to 6",17057104,Anne Marie,,Port Phillip,-37.83607,144.95293,Entire home/apt,750,3,2,2021-05-22,0.09,2,170,1,
